zip,donations,estimate,total,donations_per_1000
21204,8428,21545,189115.3200000032,391.18124854954743
21205,80,16239,3283.3199999999997,4.926411724859905
21206,814,52020,20841.259999999973,15.647827758554403
21207,511,48872,14736.519999999984,10.455884760189884
21208,3218,35266,69404.8800000002,91.24936199172006
21209,1197,28309,39362.56999999995,42.283372778974886
21210,586,15553,22138.40999999998,37.67761846589082
21211,373,16370,14625.330000000002,22.785583384239462
21212,1784,33431,57711.109999999935,53.363644521551855
21213,222,31007,5964.939999999996,7.159673622085336
21214,930,21392,10893.830000000007,43.47419596110696
21215,1294,58283,21237.409999999996,22.2020143094899
21216,38,30179,780.86,1.2591537161602437
21217,524,33644,7613.850000000001,15.574842468196408
21218,1068,47555,22943.169999999973,22.45820628745663
21219,1407,9550,24274.23999999998,147.32984293193718
21220,6821,41051,123716.15000000082,166.15916786436384
21221,3435,42078,71861.3400000003,81.63410808498503
21222,3186,55212,58565.289999999986,57.704846772440774
21223,189,22392,5440.709999999999,8.440514469453376
21224,4252,49332,97096.64000000036,86.1915186896943
21225,1693,34363,20727.42999999996,49.268108139568724
21226,355,6247,6695.000000000005,56.82727709300464
21227,1904,33589,36017.46000000001,56.685224329393556
21228,8380,48196,190287.5699999994,173.87335048551748
21229,1451,45921,43146.99999999995,31.597743951569
21230,3292,34274,42890.42000000036,96.0494835735543
21231,156,15854,11765.870000000004,9.839788066103191
21234,4150,68381,80660.86000000071,60.689372778988314
21236,5367,39707,102116.84000000118,135.1650842420732
21237,1956,30129,57059.060000000005,64.92084038633875
21239,410,30424,10179.439999999997,13.476202997633449
21240,1,0,26.03,Inf
21244,549,36394,13203.5,15.084904105072265
21250,2,2367,105.21,0.8449514152936206
21251,50,965,1973.96,51.81347150259067
21252,4,2383,100,1.678556441460344
21286,3403,19849,97379.96999999994,171.44440525971083
21401,8690,38315,458704.35999999574,226.8041237113402
21402,64,6669,1129.13,9.596641175588543
21403,3952,31377,180484.76000000135,125.95213054147943
21405,107,337,3649.420000000001,317.50741839762617
21409,4980,19931,188649.09000000064,249.86202398274045
21502,4775,42391,103737.06000000116,112.64183435163125
21520,98,2200,3721.250000000001,44.54545454545455
21521,33,1102,1075.8800000000003,29.945553539019965
21522,1,233,47,4.291845493562231
21523,7,188,86.89,37.234042553191486
21524,20,775,457.2,25.806451612903224
21529,57,434,1045.86,131.3364055299539
21530,89,1859,1889.75,47.875201721355566
21531,246,1868,7033.79,131.6916488222698
21532,2300,14726,30815.46000000011,156.18633709085972
21536,814,4123,7843.590000000014,197.42905651224837
21538,29,410,862.24,70.73170731707316
21539,32,2606,1421.7499999999998,12.279355333844974
21540,1,102,21.07,9.803921568627452
21541,216,1421,9666.629999999996,152.00562983814214
21543,280,276,4508.579999999999,1014.4927536231885
21545,64,1740,1568.5600000000002,36.7816091954023
21550,1221,14077,35610.61999999992,86.7372309440932
21555,98,1586,2438.6499999999987,61.7906683480454
21557,69,1410,1298.9399999999994,48.93617021276596
21561,323,2464,20203.78999999999,131.08766233766232
21562,73,3519,1325.5500000000004,20.744529695936343
21601,3519,23399,198588.0400000003,150.39104235223726
21607,10,737,253.65,13.568521031207599
21610,22,433,612.65,50.80831408775981
21612,40,381,2340.93,104.98687664041995
21613,1016,17132,25820.179999999946,59.304226009806214
21617,1393,10570,44502.849999999904,131.78807947019868
21619,1752,5964,53307.83999999997,293.7625754527163
21620,3547,12850,57317.93000000011,276.03112840466923
21622,47,854,1015.8599999999996,55.03512880562061
21623,160,1989,11603.930000000004,80.44243338360987
21624,2,175,200,11.428571428571429
21625,181,2583,6536.09,70.07355787843593
21628,76,448,1665.3,169.64285714285714
21629,702,9396,26028.75999999993,74.71264367816093
21631,106,2814,2140.9599999999996,37.668798862828716
21632,385,6078,8560.209999999992,63.34320500164528
21634,12,198,660.53,60.60606060606061
21635,909,1983,25782.629999999972,458.3963691376702
21636,140,1015,3741.630000000001,137.9310344827586
21638,688,5130,24723.95999999996,134.1130604288499
21639,299,5279,4298.609999999999,56.639515059670394
21640,21,1499,870.59,14.009339559706472
21643,129,5864,3421.1600000000003,21.998635743519785
21644,21,90,1489.06,233.33333333333334
21645,799,1261,16686.719999999976,633.624107850912
21647,2,288,1046.02,6.944444444444444
21648,6,175,292.18000000000006,34.285714285714285
21649,11,1935,251.31,5.684754521963824
21650,36,246,743.2800000000001,146.34146341463415
21651,114,2894,4187.79,39.39184519695923
21652,6,118,186.33,50.84745762711865
21653,5,143,115.48,34.96503496503497
21654,475,986,35940.680000000015,481.7444219066937
21655,911,4747,15795.929999999988,191.9106804297451
21657,81,910,4380.89,89.01098901098901
21658,1085,3987,46045.019999999975,272.13443691999
21659,3060,1356,58483.720000000016,2256.637168141593
21660,318,4292,8391.409999999993,74.09133271202236
21661,1483,2487,30077.569999999967,596.3007639726578
21662,168,418,15801.980000000009,401.9138755980861
21663,1221,3424,42010.009999999944,356.60046728971963
21664,12,445,606.3299999999999,26.966292134831463
21665,55,215,6186.34,255.8139534883721
21666,2612,12836,85565.16000000027,203.49018385789967
21667,5,292,207,17.123287671232877
21668,399,1816,6508.429999999995,219.7136563876652
21669,15,254,1276.6999999999998,59.05511811023622
